Event,N,Accuracy,Precision,Recall,F1-score,ROC-AUC
2012 Colorado wildfires,1171,0.7250213492741246,0.7554585152838428,0.7711738484398217,0.763235294117647,0.7933591722014357
2013 Singapore haze,779,0.7188703465982028,0.6641414141414141,0.7535816618911175,0.7060402684563758,0.7958152861997735
2013 Boston bombings,971,0.7713697219361483,0.7857142857142857,0.6080402010050251,0.6855524079320113,0.8524472274110517
2013 Alberta floods,967,0.5418821096173733,0.9210526315789473,0.36731634182908546,0.5251875669882101,0.8061769115442279
2012 Costa Rica earthquake,1261,0.4821570182394925,0.4666666666666667,0.32532051282051283,0.3833805476864967,0.4599384132351165
