Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,False negatives,Fit seconds,Prediction seconds,Features
Baseline,0.8310679611650486,0.8297491039426523,0.8542435424354243,0.8418181818181818,0.9016317827112699,79,0.1316108040000472,0.016987981999591284,9885
Tuned word,0.8262135922330097,0.8134715025906736,0.8690036900369004,0.840321141837645,0.9001705129756217,71,0.9276853150004172,0.04414690000066912,15000
Hybrid word+char,0.8330097087378641,0.8167808219178082,0.8800738007380073,0.8472468916518651,0.9144410501482064,65,0.9666612690007241,0.13053441000010935,45000
