Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,TN,FP,FN,TP,Review rate
Baseline 0.50,0.6325500097106235,0.6722759781236853,0.5894503873109553,0.6281446540880503,0.6753558331459744,1659,779,1113,1598,0.4616430374830064
Hybrid 0.47,0.6440085453486114,0.6908695652173913,0.5861305791220952,0.6342047495509878,0.7084556461703587,1727,711,1122,1589,0.44668867741308993
Escalate if either positive,0.6447853952223733,0.6643070044709389,0.6576908889708595,0.660982391102873,0.6916683889564861,1537,901,928,1783,0.5212662652942319
