Policy,Threshold,Accuracy,Precision,Recall,F1-score,ROC-AUC,FP,FN
Default 0.50,0.5,0.8330097087378641,0.8167808219178082,0.8800738007380073,0.8472468916518651,0.9144410501482064,107,65
Training-CV best F1,0.4700000000000002,0.8320388349514564,0.8059701492537313,0.8966789667896679,0.8489082969432314,0.9144410501482064,117,56
Training-CV recall >= .90,0.44000000000000017,0.8252427184466019,0.7928802588996764,0.9040590405904059,0.8448275862068966,0.9144410501482064,128,52
