Model,Mean_Accuracy,Mean_Precision,Mean_Recall,Mean_F1,SD_F1,Mean_ROC_AUC,Total_FP,Total_FN
Baseline 0.50,0.6448449278331823,0.6909226332283267,0.6120928797734035,0.6380904901546807,0.12277086613812255,0.7181443854232782,779,1113
Hybrid 0.47,0.653305165849191,0.704423446356483,0.6087943686122095,0.6351938056860661,0.1454831461358292,0.741547402118321,711,1122
Escalate if either positive,0.6557772246812392,0.6771359961454745,0.6782123335102004,0.6659642942487258,0.13010505794890184,0.729714772313996,901,928
