Model,Accuracy,Precision,Recall,F1-score,False negatives,False positives,Review rate
Baseline 0.50,0.6325500097106235,0.6722759781236853,0.5894503873109553,0.6281446540880503,1113,779,0.4616430374830064
Hybrid 0.47,0.6440085453486114,0.6908695652173913,0.5861305791220952,0.6342047495509878,1122,711,0.44668867741308993
Escalate if either positive,0.6447853952223733,0.6643070044709389,0.6576908889708595,0.660982391102873,928,901,0.5212662652942319
